p,L,C,L_over_L0,C_over_C0
0.0001,44.04276656656656,0.6663563636363606,0.8729905515873013,0.9995345454545453
0.0001623776739188721,42.024796396396404,0.666184494949492,0.8329915,0.9992767424242422
0.00026366508987303583,42.71843543543544,0.6662485353535323,0.8467404166666666,0.9993728030303028
0.00042813323987193956,39.41247087087088,0.6660690656565627,0.7812114761904762,0.9991035984848483
0.0006951927961775605,34.74007167167167,0.6655665404040374,0.688597849206349,0.9983498106060604
0.0011288378916846883,28.62377587587587,0.6645969949494919,0.5673641289682537,0.9968954924242421
0.0018329807108324356,20.184751051051048,0.6630013131313099,0.40009060119047607,0.9945019696969692
0.002976351441631319,15.586986286286287,0.6605513419913387,0.30895633531746025,0.9908270129870124
0.004832930238571752,12.937978678678679,0.6581816305916272,0.2564492202380952,0.987272445887445
0.007847599703514606,10.234344344344345,0.6526465404040367,0.20285932539682536,0.9789698106060594
0.012742749857031334,8.29586946946947,0.6432899006548973,0.1644359841269841,0.9649348509823502
0.0206913808111479,6.813157457457457,0.627684331779329,0.13504651388888886,0.9415264976689977
0.03359818286283781,5.833243043043043,0.603835232545231,0.1156232103174603,0.9057528488178505
0.05455594781168514,5.0947486486486495,0.564846525141525,0.10098519642857143,0.8472697877122912
0.08858667904100823,4.564875975975975,0.509728715728716,0.09048236309523806,0.7645930735930774
0.14384498882876628,4.1148891891891894,0.4239645665445667,0.08156298214285713,0.6359468498168529
0.23357214690901212,3.7573864864864865,0.3067435589328973,0.07447676785714284,0.46011533839934793
0.3792690190732246,3.493532132132132,0.166398282616077,0.0692467976190476,0.2495974239241166
0.615848211066026,3.3177162162162164,0.0451932191183432,0.06576187499999998,0.0677898286775151
1.0,3.268097897897898,0.008930045126442188,0.06477836904761904,0.01339506768966334
